CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2026-08-20 08:21:12.1320657,C:\Users\cvoss\NTUSER.DAT,C:\Users\CYBERJ~1\AppData\Local\Temp\KAPE\Triage\C\Users\cvoss\NTUSER.DAT,1048576,B0D772A942271ED0B236EE8BDEDEFB5BC90731F9,False,2026-08-19 12:49:06.5075103,2026-08-20 08:16:56.5348734,2026-08-20 08:16:56.5348734,00:00:00.0155122
2026-08-20 08:21:12.1788533,C:\Users\Default\NTUSER.DAT,C:\Users\CYBERJ~1\AppData\Local\Temp\KAPE\Triage\C\Users\Default\NTUSER.DAT,262144,93655CC82E6533D7845759872DD7E5B4C0279710,False,2019-12-07 09:03:44.5688762,2026-08-17 09:34:35.1020867,2026-08-17 09:34:35.1020867,00:00:00
2026-08-20 08:21:12.1788533,C:\Users\cvoss\ntuser.dat.LOG1,C:\Users\CYBERJ~1\AppData\Local\Temp\KAPE\Triage\C\Users\cvoss\ntuser.dat.LOG1,0,DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,False,2026-08-19 12:49:06.5854620,2026-08-19 12:49:06.5854620,2026-08-19 12:49:06.5854620,00:00:00
2026-08-20 08:21:12.1788533,C:\Users\cvoss\ntuser.dat.LOG2,C:\Users\CYBERJ~1\AppData\Local\Temp\KAPE\Triage\C\Users\cvoss\ntuser.dat.LOG2,318464,B79597D34FF9B15DA4DB8697FDA6B1FE6B115C1C,False,2026-08-19 12:49:06.5854620,2026-08-19 12:49:06.5854620,2026-08-19 12:49:06.5854620,00:00:00
2026-08-20 08:21:12.1946474,C:\Users\Default\NTUSER.DAT.LOG1,C:\Users\CYBERJ~1\AppData\Local\Temp\KAPE\Triage\C\Users\Default\NTUSER.DAT.LOG1,65536,CDDBAD98DB467B86410781BD17B4E8D25B6264F7,False,2019-12-07 09:03:44.6948907,2019-12-07 09:03:44.6948907,2019-12-07 09:03:44.6948907,00:00:00
2026-08-20 08:21:12.1946474,C:\Users\Default\NTUSER.DAT.LOG2,C:\Users\CYBERJ~1\AppData\Local\Temp\KAPE\Triage\C\Users\Default\NTUSER.DAT.LOG2,20480,6E21153EC126E62894563F648DC99A5C34FEFC4E,False,2019-12-07 09:03:44.6948907,2019-12-07 09:03:44.6948907,2026-08-17 21:30:23.1150621,00:00:00
2026-08-20 08:21:12.2257896,C:\Users\cvoss\AppData\Local\Microsoft\Windows\UsrClass.dat,C:\Users\CYBERJ~1\AppData\Local\Temp\KAPE\Triage\C\Users\cvoss\AppData\Local\Microsoft\Windows\UsrClass.dat,3407872,25E9FE004E4E5C25859DC45ED6FAD08E308912B9,False,2026-08-19 12:49:06.6323963,2026-08-20 08:16:56.5191601,2026-08-20 08:16:56.5191601,00:00:00
2026-08-20 08:21:12.2421937,C:\Users\cvoss\AppData\Local\Microsoft\Windows\UsrClass.dat.LOG1,C:\Users\CYBERJ~1\AppData\Local\Temp\KAPE\Triage\C\Users\cvoss\AppData\Local\Microsoft\Windows\UsrClass.dat.LOG1,869376,A2B04DEE1EC7BD0796A6328120C4927DA74BA4AE,False,2026-08-19 12:49:06.6323963,2026-08-19 12:49:06.6323963,2026-08-19 12:49:06.6323963,00:00:00
2026-08-20 08:21:12.2570146,C:\Users\cvoss\AppData\Local\Microsoft\Windows\UsrClass.dat.LOG2,C:\Users\CYBERJ~1\AppData\Local\Temp\KAPE\Triage\C\Users\cvoss\AppData\Local\Microsoft\Windows\UsrClass.dat.LOG2,237568,F45FD2F70C00FF17E54C9FB9A162D6F7909D09E1,False,2026-08-19 12:49:06.6323963,2026-08-19 12:49:06.6323963,2026-08-19 12:49:06.6323963,00:00:00.0148209
2026-08-20 08:21:12.2570146,C:\Users\cvoss\AppData\Roaming\Microsoft\Windows\Recent\desktop.ini,C:\Users\CYBERJ~1\AppData\Local\Temp\KAPE\Triage\C\Users\cvoss\AppData\Roaming\Microsoft\Windows\Recent\desktop.ini,432,DABC2F24F4A4E90053743166E5C4175DCF2B2D2D,False,2026-08-19 12:49:09.2106171,2026-08-19 12:49:09.2106171,2026-08-19 15:35:19.8819240,00:00:00
